Date,Open*,High,Low,Close**,Volume,Market Cap
21-Jun-20,43.34,43.76,43.03,43.09,"1,362,753,187","2,794,826,424"
20-Jun-20,42.65,43.78,42.63,43.35,"1,500,492,583","2,811,334,445"
19-Jun-20,43.56,43.68,42.6,42.68,"1,712,639,222","2,767,724,113"
18-Jun-20,44.03,44.12,43.14,43.56,"1,576,467,272","2,830,626,074"
17-Jun-20,43.88,44.81,43.36,44.03,"1,996,899,442","2,860,963,357"
16-Jun-20,43.91,44.28,43.49,43.88,"1,841,455,099","2,850,591,900"
15-Jun-20,44.08,44.2,42.09,43.91,"2,090,717,318","2,852,680,851"
14-Jun-20,45.1,45.1,43.89,44.08,"1,782,403,292","2,863,412,897"
13-Jun-20,44.79,45.19,44.46,45.09,"1,739,835,590","2,928,688,758"
12-Jun-20,43.5,45.27,43.12,44.83,"2,260,548,556","2,911,065,499"
11-Jun-20,46.68,46.9,42.97,43.51,"2,554,226,325","2,825,486,779"
10-Jun-20,46.07,46.89,45.89,46.68,"2,146,762,421","3,030,821,037"
9-Jun-20,46.47,46.74,45.67,46.07,"2,141,209,283","2,990,871,181"
8-Jun-20,46.66,46.88,46.06,46.47,"2,357,747,091","3,016,794,015"
7-Jun-20,46.74,46.94,45.39,46.67,"2,385,218,875","3,029,051,321"
6-Jun-20,47.07,47.32,46.43,46.73,"2,160,092,222","3,032,854,879"
5-Jun-20,47.67,47.92,46.87,47.05,"2,551,367,878","3,053,335,010"
4-Jun-20,47.2,47.99,46.58,47.64,"2,697,436,350","3,090,975,369"
3-Jun-20,45.93,47.63,45.66,47.17,"2,691,495,449","3,060,501,220"
2-Jun-20,48.09,49.76,45.26,45.92,"3,060,955,005","2,979,119,286"
1-Jun-20,45.57,48.4,45.43,48.13,"3,035,652,544","3,121,604,529"
31-May-20,47.54,47.57,45.32,45.59,"2,637,761,668","2,956,928,358"
30-May-20,44.63,47.54,44.23,47.54,"2,852,777,896","3,082,829,598"
29-May-20,44.78,45.38,44.32,44.65,"2,632,197,768","2,895,315,418"
28-May-20,43.87,44.86,43.5,44.76,"2,743,046,058","2,901,856,312"
27-May-20,42.41,44.07,42.37,43.86,"2,757,608,482","2,843,324,947"
26-May-20,42.93,43.01,42.12,42.43,"2,475,471,673","2,750,446,203"
25-May-20,42.41,43.44,42.1,42.95,"2,701,310,002","2,783,422,664"
24-May-20,44.02,44.38,42.44,42.45,"2,656,112,321","2,750,870,493"
23-May-20,44.21,44.53,43.71,44.03,"2,576,920,703","2,853,191,056"
22-May-20,42.73,44.58,42.51,44.21,"2,908,274,408","2,864,136,481"
21-May-20,44.16,44.45,41.88,42.74,"3,143,718,509","2,768,884,214"
20-May-20,45.39,45.96,43.72,44.17,"3,448,255,432","2,861,150,335"
19-May-20,45.21,45.38,44.34,45.38,"3,612,370,257","2,939,336,800"
18-May-20,43.64,46.24,43.59,45.2,"4,473,025,831","2,927,235,935"
17-May-20,43.18,44.36,43.1,43.64,"3,901,110,454","2,825,893,814"
16-May-20,42.85,43.74,42.58,43.21,"3,879,155,974","2,797,840,306"
15-May-20,43.95,44.06,42.47,42.83,"4,340,414,828","2,772,979,035"
14-May-20,43.09,44.23,42.48,43.95,"5,023,559,798","2,844,597,190"
13-May-20,42.07,43.55,41.95,43.13,"4,565,388,581","2,791,779,469"
12-May-20,41.74,42.68,41.41,42.11,"4,734,936,547","2,725,296,857"
11-May-20,42.36,42.86,40.14,41.7,"5,121,746,343","2,698,347,048"
10-May-20,47.26,47.26,40.57,42.37,"5,783,062,532","2,741,254,063"
9-May-20,47.84,48.94,47.13,47.27,"4,740,601,428","3,058,380,577"
8-May-20,47.31,48.55,46.63,47.88,"4,780,707,207","3,097,356,144"
7-May-20,46.02,48.07,45.03,47.33,"5,080,727,910","3,061,336,365"
6-May-20,46.77,47.78,45.94,45.94,"4,575,858,023","2,971,266,131"
5-May-20,47.45,47.91,46.37,46.79,"4,187,625,277","3,025,540,504"
4-May-20,48.24,48.35,46.04,47.47,"4,488,284,400","3,069,527,725"
3-May-20,49.46,50.04,47.55,48.27,"4,667,453,994","3,120,493,727"
2-May-20,47.77,49.57,47.45,49.46,"4,453,777,871","3,197,119,850"
1-May-20,46.71,48.6,46.71,47.79,"4,581,731,065","3,089,051,663"
30-Apr-20,49.15,50.92,46.58,46.71,"5,724,477,325","3,019,046,193"
29-Apr-20,46.09,49.62,46.01,49.18,"5,673,988,960","3,178,164,249"
28-Apr-20,44.74,46.31,44.07,46.03,"4,413,476,561","2,974,099,483"
27-Apr-20,44.68,45.42,43.89,44.71,"4,473,729,902","2,888,544,819"
26-Apr-20,44.72,45.34,44.31,44.69,"4,687,873,111","2,886,855,018"
25-Apr-20,44.82,45.65,44.37,44.71,"4,769,855,704","2,888,203,931"
24-Apr-20,42.99,45.17,42.94,44.81,"4,786,600,723","2,894,063,140"
23-Apr-20,41.88,43.37,41.43,42.94,"4,757,478,698","2,772,774,520"
22-Apr-20,40.99,42.32,40.69,41.89,"4,029,531,589","2,704,698,254"
21-Apr-20,40.81,41.26,40.42,41.04,"3,954,491,838","2,649,690,810"
20-Apr-20,42.67,43.38,40.46,40.83,"4,293,209,435","2,635,710,772"
19-Apr-20,44.35,44.51,42.6,42.63,"4,563,334,114","2,751,996,675"
18-Apr-20,42.75,44.38,42.53,44.36,"4,508,378,329","2,863,206,054"
17-Apr-20,42.68,43.21,42,42.75,"4,096,625,538","2,758,454,401"
16-Apr-20,39.64,43.01,38.6,42.69,"4,985,504,369","2,754,496,415"
15-Apr-20,41.08,41.71,39.45,39.59,"3,696,959,521","2,554,181,141"
14-Apr-20,41.22,41.82,40.68,41.05,"3,713,345,006","2,648,383,666"
13-Apr-20,42.5,42.5,39.96,41.2,"3,998,289,644","2,657,814,813"
12-Apr-20,42.32,43.29,42.01,42.45,"3,639,638,078","2,737,892,510"
11-Apr-20,42.26,42.97,41.69,42.32,"3,374,908,252","2,729,109,196"
10-Apr-20,46.4,46.47,41.33,42.27,"4,008,964,133","2,725,609,591"
9-Apr-20,46.35,46.58,45.17,46.38,"3,628,019,378","2,990,629,539"
8-Apr-20,44.68,46.75,44.35,46.32,"3,831,132,142","2,986,094,917"
7-Apr-20,44.4,47.2,44.11,44.67,"4,391,267,713","2,879,255,750"
6-Apr-20,40.66,44.49,40.54,44.39,"4,287,968,687","2,861,077,283"
5-Apr-20,40.69,41,39.93,40.67,"3,084,146,015","2,620,968,039"
4-Apr-20,40.34,40.83,39.96,40.68,"3,229,457,622","2,621,009,072"
3-Apr-20,39.89,41.08,39.68,40.36,"3,482,692,346","2,600,305,500"
2-Apr-20,39.36,41.65,39.25,39.87,"3,985,953,572","2,568,780,271"
1-Apr-20,39.28,39.38,37.45,39.38,"3,303,999,600","2,536,712,327"
31-Mar-20,39.12,39.37,38.68,39.3,"3,359,087,002","2,531,157,610"
30-Mar-20,37.26,39.32,37.26,39.14,"3,318,334,905","2,520,514,843"
29-Mar-20,38.87,38.93,37.21,37.33,"2,683,734,233","2,403,961,159"
28-Mar-20,38.86,39.33,37.1,38.87,"3,119,837,445","2,502,911,913"
27-Mar-20,40.18,40.6,38.89,38.92,"2,962,853,270","2,505,504,071"
26-Mar-20,39.17,40.17,38.79,40.16,"2,827,963,692","2,585,178,521"
25-Mar-20,40.48,40.7,38.55,39.15,"3,133,347,522","2,519,916,317"
24-Mar-20,38.75,40.75,38.27,40.49,"3,331,925,793","2,605,834,454"
23-Mar-20,35.58,38.85,35.42,38.77,"3,598,154,774","2,494,558,925"
22-Mar-20,38.37,39.48,35.5,35.63,"3,148,219,029","2,292,391,578"